chrom	start	stop	gene_name
11	34027149	34269217	NAT10
17	40734632	40952010	CNTNAP1
19	58413429	58622600	CTD-2368P22.1
16	48571054	48772630	CTC-527H23.3
3	169384713	169587683	AC078802.1
14	62047759	62262541	RP11-618G20.4
10	18329606	18930798	CACNB2
19	6279580	6493992	GTF2F1
17	18501311	18739431	TRIM16L
10	6030949	6259420	RBM17
4	113096783	113307059	TIFA
3	170482664	170688272	RPL22L1
2	175252117	175453028	AC010894.3
11	13198199	13508813	ARNTL
2	70087226	70289397	ASPRV1
11	512553	715999	IRF7
22	19670747	19942462	GNB1L
17	18461742	18685575	ZNF286B
19	55502283	55728927	PPP1R12C
7	101828405	102062178	SH2B2
18	219355	600729	COLEC12
14	36195524	36501531	BRMS1L
4	120118207	120325600	C4orf3
14	24520427	24736611	RP11-468E2.4
6	28009716	28224089	ZNF192
7	130046089	130453598	COPG2
9	15322702	15565951	SNAPC3
2	149302009	149645130	EPC2
14	95899840	96111061	GLRX5
1	161234521	161437664	C1orf192
1	247008849	247342113	ZNF670
21	45092393	45296326	CSTB
1	7803143	8013572	UTS2
16	2918025	3130540	PKMYT1
1	38172651	38375126	C1orf122
7	143780559	143983146	CTAGE4
1	227651236	227947594	ZNF678
6	138088351	138304449	TNFAIP3
15	74292652	74530881	ISLR2
4	6617842	6819387	CNO
6	111777657	112027481	TRAF3IP2
16	10320291	10677495	ATF7IP2
6	24303153	24525810	MRS2
1	23310516	23604301	LUZP1
11	58838903	59076060	DTX4
10	118509023	118771297	ENO4
8	11527144	11744855	NEIL2
7	6555248	6763921	ZNF853
8	145059402	145262514	MAF1
13	21966836	22278353	EFHA1
5	36052091	36284421	SKP2
19	50836160	51069583	MYBPC2
2	74019441	74246992	ACTG2
1	207569492	207913992	CR1
1	100631763	100858325	RTCD1
2	228578558	228782272	CCL20
4	68466998	69046670	RP11-453E17.1
17	7394548	7618189	FXR2
6	127659551	127940500	SOGA3
15	84222838	84808594	ADAMTSL3
20	47794715	48005797	ZNFX1-AS1
2	231091899	231368447	SP140L
10	124650322	124868333	IKZF5
6	43512783	43740337	RSPH9
13	79088426	79333314	RNF219
10	28866271	29071868	BAMBI
14	96571016	96810666	BDKRB2
13	60139717	60838119	DIAPH3
12	57766038	57982597	ARHGAP9
3	157713743	157924292	SHOX2
16	75346582	75598604	RP11-77K12.1
4	146996837	147221152	LSM6
1	24017460	24222029	LYPLA2
5	10871952	12004155	CTNND2
10	103013820	103417078	BTRC
19	10116965	10325414	PPAN
12	53593470	53800961	C12orf10
3	183433664	183643382	MAP6D1
1	149756010	149958232	HIST2H2BE
11	117085273	117383984	CEP164
4	99291518	99679780	TSPAN5
2	28972687	29193167	TRMT61B
8	104376617	104581213	RP11-1C8.5
7	1091707	1300395	ZFAND2A
11	75045685	75336948	GDPD5
1	104059999	104268402	AMY2A
13	52886839	53124763	VPS36
21	15854509	16131142	AF165138.7
3	40466369	40716176	ZNF621
2	27487219	27693353	EIF2B4
7	158699213	158922886	AC004863.6
10	98492017	98840800	LCOR
10	964847	1171799	IDI2
2	74781355	75009186	SEMA4F
14	64219683	64793165	SYNE2
11	78035028	78240882	RP11-452H21.4
11	45831220	46040363	PEX16
10	96897329	97150781	PDLIM1
1	24028375	24265110	HMGCL
5	158641791	158857895	IL12B
12	49390919	49604683	LMBR1L
22	50397820	50624331	MLC1
1	155159086	155371225	PKLR
18	77339801	77614510	CTDP1
1	154079196	154293104	C1orf43
1	46052886	46260115	TMEM69
1	67178568	67490570	WDR78
1	160970346	161187901	PFDN2
6	96869471	97103152	UFL1
1	205438013	205672046	MFSD4
6	43199513	43437181	ZNF318
3	186072771	186311450	RP11-48F14.1
16	351826	562487	DECR2
12	6647241	6856626	ACRBP
13	101083801	101341782	A2LD1
4	155055527	155512930	DCHS2
1	55081495	55308330	TTC4
17	3466196	3671976	TAX1BP3
4	132751186	132997107	RP11-745L13.2
8	27779481	28041388	C8orf80
2	231672033	231925781	GPR55
11	67102981	67305538	PTPRCAP
2	106609759	106910795	UXS1
11	47085848	47298676	ARFGAP2
19	52259055	52494203	ZNF577
2	61995224	62215939	CCT4
4	81852119	82078685	BMP3
1	31632417	31869662	SNRNP40
1	3441566	3646691	TPRG1L
11	47902110	48292393	PTPRJ
2	201253675	201484507	KCTD18
9	125460668	125690910	PDCL
6	7441808	7686950	DSP
5	150940657	151166726	SPARC
7	30364143	30618400	NOD1
10	90873326	91274382	LIPA
12	89881828	90203077	ATP2B1
12	27749428	27950566	REP15
15	90677040	90885315	C15orf58
1	84230711	84564833	TTLL7
17	5043803	5244838	RP11-333E1.2
1	212925450	213131430	FLVCR1-AS1
15	66579155	66884754	MAP2K1
15	43964798	44169741	ELL3
12	93761264	93997545	MRPL42
9	33361439	33573941	NOL6
19	6969471	7187979	ZNF557
4	129914472	130134487	C4orf33
6	42612219	42814558	TBCC
22	44219619	44460368	PNPLA3
17	6444078	6647861	TXNDC17
11	89664274	89906558	TRIM49L2
1	222888406	223279337	DISP1
17	311908	724957	VPS53
21	43205221	43473999	C2CD2
7	30793010	31065131	AQP1
8	130263937	130792485	CCDC26
15	81501394	81716524	STARD5
17	60678676	60985705	MARCH10
19	19044384	19270563	ARMC6
9	6313151	6607054	UHRF2
21	35345524	35615334	MRPS6
1	25588741	25856683	RHCE
2	233824677	234216549	INPP5D
5	178968545	179172047	C5orf60
11	65122728	65334028	AP000769.1
15	78699906	78929714	AGPHD1
5	138182409	138729246	SIL1
14	49943390	50165408	RPS29
16	56799119	57049762	SLC12A3
2	85521346	85745555	CAPG
2	222964607	223263715	PAX3
19	3872316	4085461	EEF2
7	114619012	114866368	AC068610.3
16	80909698	81153875	CMC2
2	121874163	122142783	TFCP2L1
11	824894	1112239	AP2A2
18	12307895	12532234	SLMO1
1	65786248	66207242	LEPR
12	58091159	58312487	AVIL
14	24767992	24988494	NYNRIN
14	81627000	82002809	STON2
18	74436116	74782680	ZNF236
19	58369807	58585904	C19orf18
12	93836239	94065544	RP11-887P2.1
1	225500404	225702040	AC092811.1
5	122580579	122859286	CEP120
5	57649809	57856087	PLK2
7	50411831	50618088	FIGNL1
7	156637415	156838339	RP5-1121A15.3
8	135704263	135910515	AC083843.1
11	66970919	67180078	SSH3
7	22502956	22713615	AC002480.3
3	112082815	112318408	BTLA
12	76638254	76842222	BBS10
10	123399939	123788316	ATE1
5	8935138	9646187	SEMA5A
22	20128938	20370769	RTN4R
3	52250335	52534507	DNAH1
12	6208881	6447427	CD9
12	48257352	48462661	TMEM106C
1	54592190	54979152	SSBP3
16	15696992	16050890	MYH11
19	58180997	58420617	ZNF586
1	3552739	3754439	RP5-1092A11.3
2	135709835	136033964	RAB3GAP1
11	102347566	102596063	MMP20
16	66868347	67097159	CES2
12	62760597	63091363	MON2
8	145386055	145615082	BOP1
16	2161998	2362864	RP11-304L19.8
22	39157455	39368319	CBX6
5	147663498	147922399	FBXO38
14	74324713	74586102	ENTPD5
4	1884441	2143630	WHSC2
17	74571809	74807087	MXRA7
3	160050233	160303561	TRIM59
3	67605121	68098137	RP11-81N13.1
6	32802406	33008847	HLA-DMB
11	47099076	47307994	PACSIN3
22	20977335	21180201	AC007308.1
16	85712230	85933148	COX4NB
19	7594671	7796509	C19orf79
1	209901352	210125558	DIEXF
19	50372857	50578191	SIGLEC16
1	229306822	229541641	RAB4A
1	201003900	201240702	TMEM9
2	26431415	26718759	EPT1
19	10262640	10470736	MRPL4
7	40072342	40274258	MPLKIP
12	31073697	31326781	RP11-551L14.5
5	152769175	153293240	GRIA1
11	125339112	125554575	EI24
7	2181857	2390781	NUDT1
2	74656504	74860472	HTRA2
1	156113206	156317881	PAQR6
9	20895306	21131635	PTPLAD2
7	75525656	75777322	STYXL1
1	226311319	226514785	MIXL1
1	1433392	1635476	C1orf233
6	165640776	166175588	PDE10A
17	4701069	4906369	NE
3	167626465	167913763	GOLIM4
22	20683528	20950170	KLHL22
16	19627778	19968907	IQCK
12	122592210	122812081	DIABLO
7	150388373	150598450	TMEM176B
12	56301443	56532219	IKZF4
20	44463267	44676662	PCIF1
3	39408689	39667859	MOBP
22	21171714	21408037	CRKL
18	77055772	77389325	NFATC1
7	123221989	123489121	WASL
17	34210692	34428590	CCL15
2	74961108	75220486	HK2
6	1510679	1714127	FOXC1
1	204495903	204698840	RP11-430C7.5
5	134262615	134470503	PITX1
8	21871928	22090897	HR
22	41470595	41693460	RP1-85F18.5
1	17122232	17399459	CROCC
16	68463993	68709948	ZFP90
1	153407075	153608720	S100A6
3	128706412	128941644	RAB43
5	179821412	180105405	CNOT6
1	109926101	110135426	ATXN7L2
20	23508534	23719110	CST3
16	71779899	72050997	RP11-498D10.4
7	72850686	73072332	BCL7B
14	77641299	77887227	POMT2
1	207886905	208142495	C1orf132
11	120107787	120460645	ARHGEF12
4	68505046	68720078	GNRHR
15	83279223	83482778	AC105339.1
20	9395008	9611171	LAMP5
17	18896287	19099674	AC007952.5
16	88662903	88872829	RNF166
22	29608922	29811745	RASL10A
15	51873550	52113223	SCG3
6	56953581	57187078	RAB23
17	43138271	43347406	HEXIM2
10	31033563	31420866	ZNF438
11	45807202	46028016	MAPK8IP1
1	113115763	113343368	MOV10
15	38680304	38957776	RASGRP1
20	18018499	18269031	CSRP2BP
14	50374031	50607947	RP11-58E21.3
2	103136166	103427777	SLC9A2
1	9689084	9984584	CLSTN1
6	31488450	31705548	PRRC2A
11	65443364	65648273	AP5B1
16	29717427	29923649	MAZ
14	103298716	103623799	CDC42BPB
12	125449925	125727873	AACS
3	195373636	195639148	MUC4
8	133687618	133961052	PHF20L1
12	127114333	127356957	RP11-173C20.2
8	28453718	28658981	CTD-2172A10.1
19	17060573	17286343	HAUS8
21	34519079	34756082	AP000295.9
6	27706323	27919974	HIST1H2BN
11	117604434	117808507	RP11-728F11.4
1	161041100	161247309	B4GALT3
5	125777533	126031110	ALDH7A1
3	125481417	125706178	RP11-379B18.5
1	11066592	11422608	MTOR
11	60518413	60723444	PTGDR2
1	91280859	91587829	ZNF644
3	138624648	139176065	MRPS22
12	6471403	6680153	VAMP1
6	75862640	76094684	TMEM30A
8	29852914	30134724	LEPROTL1
11	317933	542011	ANO9
18	12847983	13087533	SEH1L
11	57380072	57608445	TMX2
10	88618375	88823017	SNCG
13	46686083	46944757	LRRC63
15	69645123	69848255	RPLP1
17	80232153	80433462	UTS2R
1	228194380	228397013	MRPL55
21	30466392	31109660	BACH1
22	21720712	21925558	TMEM191C
19	10563761	10776713	KRI1
5	137846656	138370723	CTNNA1
5	153470290	153900544	GALNT10
22	38103912	38313183	GCAT
14	24490560	24701038	RP11-468E2.6
17	17986392	18213268	ALKBH5
5	172281789	172486395	CTC-308K20.1
18	5292383	5730640	EPB41L3
15	68771308	69120145	CORO2B
2	24238241	24446347	PFN4
10	105781816	105986143	SFR1
1	153486731	153689462	S100A14
2	132294598	132507188	AC093838.7
6	41968856	42210357	C6orf132
3	110688918	111094410	PVRL3
17	3605459	3806676	CTD-3195I5.5
7	5246421	5565045	TNRC18
12	51532076	51740501	DAZAP2
12	121048238	121261443	UNC119B
16	72027461	72246811	DHX38
6	32681544	32906599	TAP2
1	119473839	119783294	WARS2
2	179287554	179584941	AC009948.3
1	28196855	28515207	EYA3
9	123414256	123655690	FBXW2
6	26340700	26553643	BTN3A3
18	11783470	12008779	MPPE1
6	32609119	32814992	HLA-DQA2
17	66317423	66553653	WIPI1
19	18930484	19139442	DDX49
9	90903334	91193609	SPIN1
12	49832940	50052077	KCNH3
20	54992243	55201198	FAM209A
11	65559490	65768044	FOSL1
20	4733002	5090939	SLC23A2
2	3283446	3588865	TRAPPC12
5	33423640	33992297	ADAMTS12
19	6577846	6830573	C3
16	27313483	27562115	IL21R
3	113566748	113784248	ZDHHC23
11	116949449	117168160	SIDT2
19	11585477	11789801	ACP5
3	151885973	152087335	AC106722.1
7	5971007	6176017	ANKRD61
2	166504101	166751192	GALNT3
2	46826091	47090268	SOCS5
1	11014641	11220081	SRM
1	33016743	33246258	RBBP4
3	122146806	122383424	PARP9
11	102117942	102349401	BIRC2
13	78369616	78593903	EDNRB
4	183920446	184341930	WWC2
19	58878459	59084781	ZNF324
22	31642875	31844670	AC005003.1
6	33061365	33268630	RXRB
16	88822628	89029094	TRAPPC2L
4	156580144	156828743	GUCY1B3
21	40614241	40821573	HMGN1
2	26156976	26460323	RAB10
12	133164192	133397276	PXMP2
14	71008504	71242077	TTC9
19	14419633	14630171	DDX39A
19	3472775	3679086	HMG20B
1	153531130	153734306	SNAPIN
1	218419577	218717961	TGFB2
14	104082067	104300005	ZFYVE21
1	211508414	211708675	RP11-318L16.6
17	80800031	81109686	B3GNTL1
15	63381668	63659981	RAB8B
8	144773090	144997549	SCRIB
14	59827081	60051148	C14orf149
1	160146602	160356138	PEX19
10	11765338	12014276	C10orf47
19	3406295	3636755	FZR1
4	77716082	77919002	SOWAHB
1	149758525	149958961	HIST2H2AC
2	72303113	73153177	EXOC6B
7	96010938	96439203	SHFM1
2	188107856	188413187	CALCRL
16	30094148	30300397	CORO1A
16	56522986	56725000	MT3
4	319604	592945	ZNF721
16	69358428	69600169	CYB5B
2	217177137	217447776	SMARCAL1
1	155878839	156090750	SSR2
19	7345802	7635131	CTD-2207O23.3
3	197515946	197787013	IQCG
10	51648078	51870259	AGAP6
1	3673845	3901993	DFFB
6	111203218	111447303	RPF2
19	44000769	44218649	SRRM5
14	58794103	59115216	KIAA0586
1	236858581	237167281	MTR
11	677578	884297	AP006621.5
11	104713593	104940163	CASP4
2	203645323	203979521	WDR12
11	33780122	34013836	LMO2
11	57264860	57482326	SERPING1
6	81076675	81278797	RP11-250B2.5
7	89683689	89894143	STEAP1
15	102177298	102385913	RP11-89K11.1
10	120763598	120997496	FAM45A
10	63561059	63956703	ARID5B
7	108010866	108310110	PNPLA8
3	7894492	8753610	AC087859.1
14	57015683	57297253	RP11-1085N6.3
22	25321600	25693415	KIAA1671
15	90052020	90298682	KIF7
11	62330287	62539727	C11orf48
1	111643393	111886062	CHI3L2
11	73494907	73697748	RP11-707G14.6
12	50620013	50890405	FAM186A
1	210401596	210949638	HHAT
19	44429494	44637260	ZNF222
6	150364212	150671493	PPP1R14C
2	239046908	239249303	HES6
5	114439713	114641943	CTC-428G20.3
6	39056749	39297226	KCNK5
4	39084024	39387430	WDR19
16	67596848	67800667	C16orf48
1	244471796	244715436	ADSS
3	46377136	46626724	LTF
3	124380795	124706674	ITGB5
1	54397347	54619177	TMEM59
6	42747356	42957663	RPL7L1
5	179917103	180118540	SCGB3A1
22	21803736	22078323	UBE2L3
6	86167696	86453510	SYNCRIP
19	10724143	11042586	DNM2
19	47624079	47836023	BBC3
3	150159781	150421015	SERP1
16	56664017	56980792	NUP93
15	48523208	48735570	DUT
9	37666975	37901434	EXOSC3
19	54620147	54846602	LILRB3
19	8820382	9033565	ZNF558
14	52797308	53119240	TXNDC16
19	45308956	45512650	APOE
3	93633213	93847454	STX19
16	57928572	58134357	ZNF319
3	4838493	5121646	AC018816.4
12	24864295	25202393	BCAT1
1	22251681	22457716	LINC00339
8	28357986	28713116	EXTL3
4	8268439	8542450	ACOX3
12	88342794	88635993	CEP290
3	8922275	9504737	SRGAP3
12	131195151	131396983	RP11-989F5.1
17	3466357	3699488	RP11-48B14.2
2	74640590	74844769	TLX2
20	34724381	34958840	C20orf4
17	7899218	8122234	ALOXE3
15	41600606	41875761	RTF1
16	31112806	31314771	PYCARD
14	60763187	61082261	C14orf39
10	93458069	93725033	TNKS2
7	99954238	100161894	C7orf61
1	109505121	109718624	TAF13
20	50113053	50485173	ATP9A
17	26946411	27151377	RPL23A
5	139918325	140127370	NDUFA2
7	47635328	48119178	HUS1
7	148666735	148887874	ZNF786
7	54986714	55424313	EGFR
10	96971528	97421171	SORBS1
22	37904481	38129571	GGA1
19	56119798	56349768	NLRP9
1	174868300	175080851	CACYBP
17	57985489	58196413	AC005702.1
2	230932009	231190444	SP110
8	61778361	61980334	AC022182.3
17	46526232	46782274	HOXB3
19	35720072	35938258	CD22
5	149332854	149592935	CSF1R
1	153202596	153421316	PGLYRP4
3	12228867	12575855	PPARG
6	138166503	138393659	RP11-240M16.1
22	24879718	25124972	GGT1
14	99877603	100170363	CCDC85C
2	24942038	25242708	ADCY3
2	10823517	11078103	PDIA6
10	94490935	94919250	EXOC6
11	14799553	15013798	CYP2R1
1	150602551	150838433	CTSS
2	25355845	25665459	DNMT3A
5	41825356	42041845	FBXO4
5	115077178	115349778	AP3S1
11	107511	315113	RIC8A
3	195654054	195909060	TFRC
6	88124096	88399735	RARS2
2	201998166	202252434	CASP8
9	16237	218417	FOXD4
16	29395010	29617320	RP11-231C14.4
4	44603885	44828612	GNPDA2
1	92764531	92967613	RP5-1014C4.3
7	2191405	2493953	SNX8
3	142342916	142626730	TRPC1
5	132111071	132399326	AFF4
2	219333303	219561803	RQCD1
12	49850327	50061936	MCRS1
15	64343914	64549680	SNX22
1	810579	1017497	C1orf170
19	39290340	39499533	NFKBIB
2	234284166	234575428	USP40
11	73257223	73473864	PLEKHB1
9	117250026	117460653	ATP6V1G1
6	87981311	88202519	RP1-102H19.6
2	220315451	220536581	OBSL1
11	85855586	86089781	EED
19	45754246	45973876	ERCC2
2	152873315	153132506	STAM2
16	23581332	23784448	CTD-2196E14.9
2	189739046	189977472	COL3A1
15	65309717	65526174	PDCD7
7	27110210	27319880	HOXA10
7	4715253	4933943	AP5Z1
1	155132659	155348282	CLK2
5	149137519	149424356	PDE6A
13	45939060	46210765	COG3
5	172934517	173143663	BOD1
1	155065379	155278842	THBS3
8	145915150	146117972	RPL8
11	111997088	112240678	PTS
19	1476678	1692710	MBD3
17	59429779	59662469	TBX4
5	52185156	52490609	ITGA2
6	42921767	43127544	MRPL2
15	34533917	34735378	NOP10
13	20297622	20537776	ZMYM5
8	76220149	76579078	HNF4G
15	90120995	90334014	PEX11A
2	74685010	74975465	C2orf65
15	83228033	83478666	AP3B2
12	106651436	107003976	POLR3B
10	104138986	104362482	ACTR1A
19	54943909	55157053	KIR3DX1
5	1698500	1901480	MRPL36
11	73487744	73738790	PAAF1
2	130999798	131205383	IMP4
1	154454538	154700475	ADAR
6	84469362	84770146	CYB5R4
6	146764829	146976101	RAB32
19	45150962	45363301	BCL3
17	48520419	48733213	SPATA20
3	14760469	15075895	FGD5
17	77604681	77816021	ENPP7
5	16351628	16565901	ZNF622
19	2897637	3145786	TLE2
18	23496219	23771164	SS18
4	124217950	124424910	SPRY1
3	122003023	122231181	FAM162A
12	101686898	101901598	ARL1
12	68904619	69154372	RAP1B
9	86495626	86718985	RMI1
11	73561364	73781411	DNAJB13
7	89913035	90242716	CLDN12
1	150021373	150232260	PLEKHO1
16	31304597	31537826	ITGAD
17	26562730	26774035	TNFAIP1
10	121385609	121688652	INPP5F
14	29135050	29338870	FOXG1
10	103725147	103927792	HPS6
12	113760042	113976081	SDSL
17	73157749	73362456	MRPS7
11	116548436	116758766	ZNF259
2	8047901	8623751	LINC00299
14	68068603	68301169	RDH12
20	43934697	44139250	DBNDD2
1	205466707	205701090	ELK4
11	77628017	77890911	NDUFC2-KCTD14
5	1701514	1916719	NDUFS6
3	9904221	10152800	TMEM111
5	59792739	60096017	DEPDC1B
17	3275668	3506713	ASPA
5	60353536	60558301	C5orf43
1	184559637	184824047	EDEM3
11	111679289	111894446	CRYAB
1	16424349	16639140	ARHGEF19
2	175940986	176149335	ATP5G3
15	59297277	59517244	CCNB2
3	49045479	49258371	USP19
11	94126795	94332749	ANKRD49
6	29694744	29898902	HLA-G
1	180818835	181024023	RP11-46A10.4
9	34941092	35145988	C9orf131
11	62375130	62576673	GNG3
4	190702670	190906023	RP11-463J17.1
1	37858176	38080375	MEAF6
16	477717	704636	SOLH
13	38823986	39037140	UFM1
8	141421397	141627236	AC1
4	100699493	100915647	LAMTOR3
19	1937481	2151243	MKNK2
3	46653605	46954064	PRSS50
4	76842273	77044650	CXCL10
8	42028820	42289973	IKBKB
18	5854705	6514910	L3MBTL4
12	52245451	52490862	ACVR1B
8	145535126	145742279	SLC39A4
3	43296351	43833086	ANO10
1	93207724	93527079	FAM69A
20	60658085	60878624	GTPBP5
11	119188090	119395695	THY1
5	115198151	115494680	LVRN
17	19451459	19680909	ALDH3A2
4	24386	257779	ZNF718
17	36381493	36599730	GPR179
9	5410545	5671282	PDCD1LG2
1	101688893	101955859	RP11-157N3.1
17	43000710	43238473	DCAKD
15	100155908	100358029	AC022692.1
7	143855700	144056815	OR2A7
1	32092718	32330494	BAI2
17	41096312	41422290	BRCA1
1	167953997	168206821	GPR161
17	34393061	34603984	TBC1D3B
14	70410934	70755787	SLC8A3
5	140643898	140992546	PCDHGA5
2	236302733	237135198	AGAP1
11	124509829	124717869	NRGN
10	14780163	15013740	HSPA14
5	74807301	75067671	ANKDD1B
11	647329	865024	TALDO1
7	43866037	44093166	UBE2D4
1	145276125	145482397	RP11-458D21.1
14	105853536	106058604	AL928654.7
2	74112259	74313470	AC073046.25
19	54985346	55248979	LILRB1
19	15170445	15411792	NOTCH3
9	36236393	36587545	RNF38
4	185964395	186168434	SLC25A4
17	37517739	37821160	CDK12
11	2922152	3178843	CARS
19	36295312	36499211	TYROBP
9	21867751	22095300	CDKN2A
16	74555292	74800779	RFWD3
7	135247244	135478166	C7orf73
11	58936349	59151506	RP11-1036E20.9
16	2833187	3049383	FLYWCH2
11	33619807	33857991	CD59
6	34285231	34493902	RPS10
2	21246789	21466144	AC010872.2
19	36386090	36587220	SDHAF1
19	23199777	23432763	ZNF730
10	50126490	50423554	VSTM4
11	18452748	18710294	UEVLD
2	3506082	3709324	AC108488.3
5	74223289	74426724	GCNT4
12	31700094	31926048	METTL20
14	24687555	24904299	ADCY4
13	111167881	111392340	CARKD
5	144751362	145314932	PRELID2
14	95882473	96084248	RP11-1070N10.3
4	40218502	40432436	AC195454.1
19	44682947	44913601	ZNF235
3	121282046	121568602	GOLGB1
22	17974902	18211584	ATP6V1E1
11	4015937	4260106	RRM1
1	109722178	109925808	PSRC1
10	102667441	102890890	PDZD7
6	139461198	139713276	TXLNB
2	73014489	73219287	SPR
10	102188829	102409763	HIF1AN
12	40687197	41064632	MUC19
7	460028	664869	AC147651.3
8	144594788	144800218	TSTA3
4	174191120	174398683	SAP30
4	392989	633985	PIGG
5	180367225	180588523	BTNL9
2	158171131	158445473	CYTIP
5	139979747	140186266	ZMAT2
17	21922437	22123991	MTRNR2L1
12	10000736	10205935	AC091814.3
6	131794284	132005472	ARG1
1	175811248	176276629	RFWD2
7	100856975	101065104	RABL5
19	49832656	50045617	SLC17A7
16	18702991	18913000	ARL6IP1
14	69625994	69921183	GALNTL1
19	5742900	5951485	FUT3
19	767964	993218	MED16
8	73821099	74060357	TERF1
6	20000935	20312670	MBOAT1
21	34342450	34544726	OLIG1
2	99916938	100206497	REV1
8	109519079	109899844	TMEM74
5	71303061	71605395	MAP1B
5	175244876	175561683	THOC3
9	21284254	21485396	IFNA2
16	9752376	10376611	GRIN2A
19	12762516	12969272	BEST2
5	110747924	111175423	CTC-426B10.1
17	38365436	38613895	RARA
9	100566771	100784852	C9orf156
9	33164940	33381977	CHMP5
21	39429128	39773748	KCNJ15
2	37377645	37651951	PRKD3
5	122079134	122465049	SNX24
6	155053831	155678857	TIAM2
15	75930311	76131568	AC019294.2
6	83820108	84240797	ME1
19	16078317	16313813	TPM4
16	47011614	47277908	NETO2
17	62020390	62307502	ERN1
16	30016131	30225177	GDPD3
16	68861450	69082164	RP11-521L9.1
16	2159254	2361951	C16orf79
8	66939131	67187720	TRIM55
11	32505344	32727808	EIF3M
14	93160576	93406308	GOLGA5
3	172248039	172529008	NCEH1
8	67682984	67934283	C8orf45
5	153725517	153935891	SAP30L
22	32229507	32441504	C22orf24
11	687104	890123	CEND1
14	74078494	74281128	PNMA1
4	4137269	4349950	TMEM128
18	48394386	48614491	ELAC1
2	95437178	95642574	TEKT4
10	21702407	21914611	C10orf140
17	7954134	8166864	VAMP2
12	12102797	12463947	BCL2L14
19	39733108	39975535	SAMD4B
4	6943626	7158368	TADA2B
1	160085505	160354920	DCAF8
17	3946462	4190605	CYB5D2
6	36722603	36942800	PPIL1
2	215490370	215774428	BARD1
1	111882512	112091998	WDR77
1	201824619	202039789	TIMM17A
1	23650352	23910750	ASAP3
19	43864946	44069831	LYPD3
15	57784231	58174960	POLR2M
19	22135266	22373901	ZNF257
1	9992890	10341297	UBE4B
4	100023795	100240694	ADH6
22	22548098	22749159	LL22NC03-2H8.4
17	66163167	66387405	SLC16A6
7	26338213	26638594	AC004540.5
15	77300471	77812486	PEAK1
17	21179699	21420404	KCNJ12
7	100036834	100265842	AGFG2
8	99029525	99272062	POP1
5	87464712	87832502	CTC-358I24.1
9	95275466	95532547	IPPK
4	186925573	187193821	FAM149A
1	214430851	214825792	PTPN14
1	202876514	203093976	TMEM183A
